"LocationName","RecipeName","Status","RecipeGroup","Type","FoodCost","FoodCostPercentage","LaborCost","LaborCostPercentage","MenuPrice","PrepRecipeYieldPercentage","GrossMargin","PrimeCost","PrimeCostPercentage","CostModified","ShelfLife","ShelfLifeUom","PrepRecipeYield","PrepRecipeYieldUom","Serving","ServingSize","ServingSizeUom","PerServing"
"Lea James Hot Chicken","CHilli Oil - Hot Fat","Draft","Ingredient","PrepRecipe","39.28394832","0","0","0","0","100","0","39.28394832","100","06/26/2025 18:44:02","1","Months","3","gal","","","","13.09464944"
"Lea James Hot Chicken","S-03 Plain Jane Sandwich","Draft","Main","Recipe","3.4489874731614916","28.74156227634576","0","0","12","100","71.25843772365424","3.4489874731614916","100","06/24/2025 04:52:19","","","","","","1","ea","3.4489874731614916"
"Lea James Hot Chicken"," S-01 OG Nashville Chicken","Draft","Main","Recipe","3.471317812500622","26.702444711543244","0","0","13","100","73.29755528845675","3.471317812500622","100","06/24/2025 04:43:53","","","","","","1","ea","3.471317812500622"
"Lea James Hot Chicken","S-02 J-Blaze Chicken","Draft","Main","Recipe","3.361605506126491","25.858503893280698","0","0","13","100","74.1414961067193","3.361605506126491","100","06/24/2025 04:39:53","","","","","","1","","3.361605506126491"
"Lea James Hot Chicken","24 Hour Chili Brined Chicken Thigh","Draft","","PrepRecipe","0","0","0","0","0","100","0","0","100","06/24/2025 04:30:14","","","","","","1","ea","0"
"Lea James Hot Chicken","DP- 05 Habanero Ranch","Draft","Sauces","Recipe","0.282031250000359","28.2031250000359","0","0","1","100","71.7968749999641","0.282031250000359","100","06/24/2025 04:27:41","3","Days","","","","2","oz","0.1410156250001795"
"Lea James Hot Chicken","Nashville Hot Chicken","Complete","Main","Recipe","3.0437914442792207","19.32565996367759","0","0","15.75","100","80.6743400363224","3.0437914442792207","100","06/22/2025 20:58:17","2","weeks","","","","1","ea","3.0437914442792207"
"Lea James Hot Chicken","Comeback Sauce - Updated 2025","Draft","Sauces","PrepRecipe","37.064930555601606","0","0","0","0","100","0","37.064930555601606","100","06/21/2025 21:30:15","7","Days","7.5","quart","2","","","4.94199074074688"
"Lea James Hot Chicken","Mac Sauce","Complete","Sauces","PrepRecipe","55.089253217235665","0","0","0","0","100","0","55.089253217235665","100","06/21/2025 20:48:23","7","days","3","gallon","1","","","18.363084405745223"
"Lea James Hot Chicken","Coleslaw","Draft","Ingredient","PrepRecipe","8.331221343957466","0","0","0","0","100","0","8.331221343957466","100","06/21/2025 20:32:11","","","","","","","","8.331221343957466"
"Lea James Hot Chicken","Chicken Waffle Cone","Complete","Main","Recipe","3.6070611607147525","30.05884300595627","0","0","12","100","69.94115699404372","3.6070611607147525","100","06/20/2025 17:51:08","7","Days","","","","1","ea","3.6070611607147525"
"Lea James Hot Chicken","Charred Onion Ranch","Draft","Sauces","PrepRecipe","64.40312500004174","6440.312500004174","0","0","0","100","0","64.40312500004174","100","06/20/2025 16:57:40","5","Days","10","lb","","1","ea","6.440312500004174"
"Lea James Hot Chicken","Hot Honey - 2025","Draft","Sauces","PrepRecipe","6.54012381648418","50.308644742186004","0","0","0","100","0","6.54012381648418","100","06/20/2025 16:40:11","7","Days","5","lb","","1","each","1.308024763296836"
"Lea James Hot Chicken","Hot Honey - portion","Complete","Sauces","Recipe","0.2159600198968814","21.59600198968814","0","0","1","100","78.40399801031185","0.2159600198968814","100","06/20/2025 16:36:58","7","Days","","","","1","oz","0.2159600198968814"
"Lea James Hot Chicken","Hot Honey Sauce","Complete","Sauces","PrepRecipe","13.82144127340041","0","0","0","0","100","0","13.82144127340041","100","06/20/2025 16:36:07","7","Days","8","lb","","","","1.7276801591750512"
"Lea James Hot Chicken","Kale - Chopped","Complete","Ingredient","PrepRecipe","23.784","0","0","0","0","100","0","23.784","100","06/20/2025 16:28:16","2","Days","20","lb","","","","1.1892"
"Lea James Hot Chicken","Lemon Pepper Sauce - Portion","Complete","Sauces","Recipe","0.146666666666667","14.6666666666667","0","0","1","100","85.3333333333333","0.146666666666667","100","06/20/2025 16:13:26","","","","","","1","ea","0.146666666666667"
"Lea James Hot Chicken","Alabama White BBQ ","Draft","Sauces","PrepRecipe","10.080812500011891","0","0","0","0","100","0","10.080812500011891","100","06/19/2025 20:14:45","7","Days","3","quart","","","","3.3602708333372973"
"Lea James Hot Chicken","Shredded Carrots","Complete","","PrepRecipe","7.9","52.66666666666667","0","0","0","100","0","7.9","100","04/21/2025 07:08:06","","","10","lb","","1","ea","0.79"
"Lea James Hot Chicken","Shredded Cabbage","Complete","Sides","PrepRecipe","15.26","0","0","0","0","100","0","15.26","100","04/21/2025 07:08:06","","","10","lb","","","","1.526"
"Lea James Hot Chicken","Comeback Sauce - Portion","Complete","Sauces","Recipe","0.30292129629668","30.292129629668","0","0","1","100","69.70787037033199","0.30292129629668","100","04/01/2025 19:00:39","","","","","","1","ea","0.30292129629668"
"Lea James Hot Chicken","Hot Honey Chicken Wings","Complete","Main","Recipe","2.266794058565205","17.4368773735785","0","0","13","100","82.5631226264215","2.266794058565205","100","04/01/2025 18:38:46","","","","","","1","each","2.266794058565205"
"Lea James Hot Chicken","Chicken Wings","Complete","Main","Recipe","1.8348740187714423","18.348740187714423","0","0","10","100","81.65125981228559","1.8348740187714423","100","04/01/2025 18:37:34","","","","","","1","each","1.8348740187714423"
"Lea James Hot Chicken","Buffalo Sauce - portion","Complete","Sauces","Recipe","0.347656250000442","34.765625000044196","0","0","1","100","65.2343749999558","0.347656250000442","100","04/01/2025 18:23:48","","","","","","1","ea","0.347656250000442"
