FAM_Product_Name,FAM_Restaurant_Location_Name,Vendor_Name,Vendor_Item_Code,Vendor_Item_Description,Vendor_UOM,Inventory_UOM,Pack_qty,Size_qty,Size_UOM,Last Purchased Date,Last Purchased Price ($)
,Lea James Hot Chicken,Chefs Produce,313,CHEESE COTIJA | CHEESEMAKERS,cs,,4,5,lb,5/1/24,26.27
,Lea James Hot Chicken,"JAKE'S, INC.",270970,CHEESE GRUYERE NAT LOAF,lb,,1,1,lb,10/27/23,10.21
"Dairy, Cheese, Monterray Jack",Lea James Hot Chicken,"JAKE'S, INC.",JACK50,CHEESE LOAF PEPPER JACK,lb,,1,1,lb,6/2/25,4.45
"Dairy, Cheese, Loaf, Pepper Jack",Lea James Hot Chicken,US Foods,JACK50,CHEESE LOAN PEPPER JACK,lb,,1,1,lb,6/30/25,4.45
"Dairy, Cheese, CHEESE QUESO FRESCO",Lea James Hot Chicken,Chefs Produce,330,CHEESE QUESO FRESCO |CHMKR,cs,,4,5,lb,5/2/24,22.42
"Dairy, Cheese Sauce, Loaf, American",Lea James Hot Chicken,"JAKE'S, INC.",PCH006,CHEESE SPREAD YELLOW,cs,ea,6,5,lb,6/2/25,88.57
"Dairy, Cheese Spread",Lea James Hot Chicken,"JAKES, INC.",PCH006,CHEESE SPREAD YELLOW PROCESSE,piece,,6,5,lb,4/23/24,75.9
"Dry Goods, Chicken Base, Paste",Lea James Hot Chicken,Jorge Garza,58897_XC11270013,Chicken Base | Knorr,ea,,1,4.4,lb,1/23/25,18.95
,Lea James Hot Chicken,Sysco Houston,7667363,CHICKEN CVP BRST TENDER JUMBO,cs,lb,4,10,lb,11/20/24,75.25
,Lea James Hot Chicken,Sysco Houston,6344790,CHICKEN CVP WING 1 &2JT JMB RND,cs,lb,4,10,lb,11/20/24,91.56
"Protein, Chicken, Tenders",Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,1002010,CHICKEN TENDER CLIPPED JUMBO,lb,,1,1,lb,7/1/25,2.86
"Protein, Chicken, Tenders",Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,1005246,CHICKEN TENDER JUMBO SOL,lb,,1,1,lb,7/1/25,4.01
,Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,1005036,CHICKEN TENDER JUMBO SOL,lb,,1,1,lb,8/23/24,2.78
"Protein, Chicken, Tenders",Lea James Hot Chicken,"JAKE'S, INC.",CHIC23,CHICKEN TENDERS BNLSSKNLS,lb,,1,1,lb,5/26/25,2.91
,Lea James Hot Chicken,"JAKES, INC.",CHIC23,CHICKEN TENDERS BNLS SKNLS,lb,,1,1,lb,8/22/23,2.71
"Protein, Chicken, Thighs",Lea James Hot Chicken,US Foods,G20223,CHICKEN THIGH BNLS SKIN ON,lb,,1,1,lb,6/27/25,3.76
,Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,1005256,CHICKEN WING 1 &2 JNT SOL,lb,ea,1,1,lb,8/23/24,3.25
"Protein, Chicken, Wing",Lea James Hot Chicken,"JAKES, INC.",CHIC22,CHICKEN WING LG|JMB 1 AND,lb,,1,1,lb,1/31/25,2.69
"Protein, Chicken, Wing",Lea James Hot Chicken,"JAKE'S, INC.",CHIC22,CHICKEN WING LG|JMB 1 AND 14 POULTRY X,lb,,1,1,lb,4/11/25,1.99
"Dry Goods, Chile Forte",Lea James Hot Chicken,Pereyda Produce,187244_XC8957696,Chile Forta,cs,,1,16,ea,4/30/24,5
,Lea James Hot Chicken,GORDON FOOD SERVICES,184701,CHILI PSTE SAMBAL OELEK,cs,ea,3,1,gal,11/14/24,69.69
,Lea James Hot Chicken,Chefs Produce,1012,CHIVES FRESH,lb,,1,1,,11/3/23,22.75
,Lea James Hot Chicken,GORDON FOOD SERVICES,251925,CHIX CVP TNDRLN CLPD JMBO,cs,,1,40,lb,11/14/24,78
,Lea James Hot Chicken,GORDON FOOD SERVICES,185388,CHIX CVP WNG SPLT JMBO,cs,,1,40,lb,11/14/24,95.93
"Dairy, Cheese, Cheddar, Yellow Bar",Lea James Hot Chicken,RESTAURANT DEPOT,34500487757,CHS GOLD VELV LOL 5LB C CASES 1 UNITS 6,cs,ea,6,5,lb,4/29/25,110.07
"Desert, Churro Cream Filled",Lea James Hot Chicken,US Foods,1014897,"CHURRO, CRM CHS FILLD W| CIN Z",cs,,50,2.75,oz,5/3/24,46.51
"Dairy, Cheese, Cheddar, Yellow Bar",Lea James Hot Chicken,RESTAURANT DEPOT,71505015875,CHZ CHEDDAR CUBES,cs,,1,5,lb,4/29/25,17.76
"Dairy, Cheese Sauce, Loaf, American",Lea James Hot Chicken,RESTAURANT DEPOT,44310,CHZ GLDN VLVT LOL,cs,,1,5,lb,4/22/25,18.78
"Dairy, Cheese Sauce, Loaf, American",Lea James Hot Chicken,RESTAURANT DEPOT,7.61E+11,CHZ MILD CHED LOAF 5,lb,,1,5,lb,4/15/25,13.33
"Dairy, Chesse, Parmesan, Grated",Lea James Hot Chicken,RESTAURANT DEPOT,14726,CHZ PARM GRATED 5#,case,each,4,5,lb,5/28/25,31.56
"Produce, Cilantro",Lea James Hot Chicken,Jorge Garza,58897_XC9841211,Cilantro,bunch,,1,1,ea,12/2/24,0.55
"Produce, Cilantro",Lea James Hot Chicken,Chefs Produce,334,CILANTRO,ea,,1,60,each,5/1/24,0.82
,Lea James Hot Chicken,US Foods,9326430,CILANTRO  WSHD   TRIMD FRESH,ea,,1,1,lb,8/19/24,6.69
"Chemicals, Cleaner, Floor Detergent",Lea James Hot Chicken,US Foods,9791092,CLEANER  FLR F20 LIQ JUG RED,cs,each,4,1,gal,12/31/24,76.89
"Chemicals, Cleaner, Floor Powder, F16",Lea James Hot Chicken,US Foods,7912702,CLEANER  FLR NEUTL F16 PWDR,cs,,2,0.5,oz,7/10/24,54.01
"Chemicals, Cleaner, Oven",Lea James Hot Chicken,US Foods,7945561,"CLEANER, OVN & GRIL",cs,ea,4,1,gal,7/5/24,35.05
,Lea James Hot Chicken,US Foods,7912660,CLEANER  OVN   GRIL K44 AERSL,cs,,4,1,each,12/31/24,48.37
,Lea James Hot Chicken,"JAKES, INC.",CLEN18,CLEANER STAINLESS STEEL AEROS,ea,,12,18,oz,5/2/23,110.7
"Chemicals, Cleaner, Stainless Steel",Lea James Hot Chicken,"JAKE'S, INC.",CLEN18,CLEANER STAINLESS STEEL AEROS JANITORIAL SUPPLY,cs,ea,12,15,oz,3/24/25,10.16
"Non Con, Bleach",Lea James Hot Chicken,RESTAURANT DEPOT,2220011,CLX BLEACH GERM,unit,,1,1,gal,5/28/25,20.49
"N/A Bev, Coca Cola, Mexican, Bottle",Lea James Hot Chicken,ALVARADO'S,165826_XC12097639,COCA COLA #2 500 ML 24|16 OZ,cs,ea,24,1,ea,4/22/25,37
"N/A Bev, Coca Cola, Mexican, Bottle",Lea James Hot Chicken,ALVARADO'S,165826_XC12097641,COCA COLA MEXICANA 24|16 OZ,cs,ea,24,1,ea,4/22/25,30
"Protein, Cod, Fillet, Frozen",Lea James Hot Chicken,US Foods,4743886,COD  PCFIC 4Z LOIN BNLS MSC 2D,ca,,1,10,lb,7/10/24,60.02
,Lea James Hot Chicken,US Foods,6295265,"COFFEE, ICED FRPNO VNL GLS BTL",case,ea,24,9.5,oz,9/8/23,53.55
,Lea James Hot Chicken,Jorge Garza,58897_XC10001127,Coke,cs,,1,1,,9/10/24,37
"N/A Bev, DRINK SODA COLA COKE MEX GLS",Lea James Hot Chicken,Jorge Garza,58897_XC10447740,Coke |500ml Mex,cs,ea,24,500,ml,3/15/25,39.75
"N/A Bev, DRINK SODA COLA COKE MEX GLS",Lea James Hot Chicken,RESTAURANT DEPOT,49000047790,COKE MEXICAN,cs,ea,24,500,ml,4/2/25,41.11
"N/A Bev, Coca Cola, Mexican, Bottle",Lea James Hot Chicken,RESTAURANT DEPOT,49000046595,COKE MEXICAN,cs,ea,24,1,each,4/15/25,41.11
,Lea James Hot Chicken,"JAKE'S, INC.",COF009,*CO* LATTE ICED VANILLA WAFFL,cs,ea,12,13.7,oz,9/5/23,29.78
"Produce, Coleslaw Mix",Lea James Hot Chicken,"JAKE'S, INC.",PR9313,COLE SLAW 3WAY SEP 1|8,cs,,1,5,lb,5/26/25,20.25
"Produce, Coleslaw Mix",Lea James Hot Chicken,US Foods,PR9313,COLE SLAW 3WAY SEP 1|8 SHRED,cs,ea,4,5,lb,6/16/25,17.29
"Produce, Coleslaw Mix",Lea James Hot Chicken,"JAKES, INC.",PR9313,COLE SLAW 3WAY SEP 1|8 SHRED,cs,ea,4,5,lb,5/20/25,20.25
"Produce, Coleslaw Mix",Lea James Hot Chicken,RESTAURANT DEPOT,50619,Coleslaw Mix - 5 lb bag,case,,1,5,pound,4/22/25,7.63
"Produce, Coleslaw Mix",Lea James Hot Chicken,US Foods,4332797,COLESLAW MIX  CBG GRN RED DCD,case,,4,5,lb,8/19/24,5.56
"Produce, Coleslaw Mix",Lea James Hot Chicken,US Foods,3332830,COLESLAW MIX  SHRD CBG GRN,cs,,4,5,lb,12/31/24,23.5
"Produce, Collard Greens, Fresh",Lea James Hot Chicken,Jorge Garza,58897_XC3683699,Collard Greens,cs,,1,1,each,11/25/24,1.27
Produs,Lea James Hot Chicken,Chefs Produce,100,COLLARD GREENS,cs,,20,24,count,2/5/24,31.25
,Lea James Hot Chicken,Chefs Produce,457,COLLARD GREENS,cs,,24,1,count,9/28/23,21.69
,Lea James Hot Chicken,US Foods,3073455,CONTAINER  32 Z 1 CMPT POLYP,ca,,20,25,each,11/17/23,60.36
Non Con.CONTAINER 6X6 CLR,Lea James Hot Chicken,"JAKES, INC.",CTRY19,CONTAINER 6X6 CLR HNGD CLEAR,cs,pack,4,125,each,12/16/24,66.77
"Non Con, Container, 8x8x3, Hindged",Lea James Hot Chicken,"JAKE'S, INC.",ECO037,CONTAINER 8X8X3 HINDGED'WHT,cs,,1,200,ct,2/21/25,41.74
"Non Con, Container, 9x9",Lea James Hot Chicken,"JAKE'S, INC.",HTRY16,CONTAINER 9X9X3 BLK 1COMP,cs,ea,2,100,ea,6/2/25,35.84
"Non Con, Container, 9x9",Lea James Hot Chicken,US Foods,HTRY16,CONTAINER 9X9X3 BLK 1COMP,cs,ea,2,100,ct,7/2/25,35.84
"Non Con, Container, 9x9",Lea James Hot Chicken,"JAKES, INC.",HTRY16,CONTAINER 9X9X3 BLK 1COMP,cs,ea,2,100,ea,6/9/25,35.84
"Non Con, Container, 9x9",Lea James Hot Chicken,US Foods,HTRY61,CONTAINER 9X BLK 1COMP,cs,ea,2,100,ea,6/13/25,35.84
,Lea James Hot Chicken,"JAKE'S, INC.",HTRY67,"CONTAINER,ANGD 9X9X3 WHT 1COM00041594869536",case,,1,100,each,4/18/23,29.3
,Lea James Hot Chicken,"JAKE'S, INC.",PLCT52,CONTAINER DELI\80Z W LID MICR00015051110110,cs,,1,240,,11/7/23,31.89
,Lea James Hot Chicken,"JAKES, INC.",PLCT52,CONTAINER DELI 80Z W LI MICR,cs,,1,240,lb,5/27/24,31.89
,Lea James Hot Chicken,US Foods,791574,CONTAINER  FM 8 Z SQT WHT,ca,,20,25,ea,3/15/24,19.77
,Lea James Hot Chicken,US Foods,7804644,CONTAINER  FM 9X9 1 CMPT WHT,ca,,1,150,each,5/12/23,20.79
,Lea James Hot Chicken,"JAKE'S, INC.",HTRY62,CONTAINER HNGD 9.3164X2.9,cs,ea,2,100,count,11/21/23,26.67
,Lea James Hot Chicken,"JAKES, INC.",HTRY67,CONTAINER HNGDv9X9X3 WHT,ea,,2,100,count,5/2/23,29.3
,Lea James Hot Chicken,US Foods,9630361,CONTAINER  MOLDD FIBR 9X9 1 CM,cs,,4,5,each,2/2/24,54.19
,Lea James Hot Chicken,US Foods,4954194,CONTAINER  PLA PLST 6X6 1,ca,,3,80,each,12/19/23,74.53
Non CONTAINER  PLST 6X6,Lea James Hot Chicken,US Foods,5865282,CONTAINER  PLST 6X6 1 CMPT,ca,,1,500,each,6/14/24,56.86
,Lea James Hot Chicken,US Foods,5865266,"CONTAINER, PLST9X9 1C CLR INT",ca,,1,200,each,6/8/24,61.48
,Lea James Hot Chicken,"JAKES, INC.",SFCT03,CONTAINERS 8 OZ FOAM FOOD XT,cs,ea,20,50,count,6/4/25,69.82
,Lea James Hot Chicken,"JAKE'S, INC.",SFCT03,CONTAINERS 8 OZ FOAM FOOD XT,,,1,1,,4/14/25,69.82
"Non Con, Container, 9x9",Lea James Hot Chicken,GORDON FOOD SERVICES,887130,CONT FM 1CMPT LRG BLK,cs,ea,150,1,ea,11/21/24,19.18
,Lea James Hot Chicken,RESTAURANT DEPOT,6.86E+11,"CONT FMHG 9.25""",unit,,1,9.25,in,5/14/23,27.3
,Lea James Hot Chicken,RESTAURANT DEPOT,99511316526,CONT SQ CLR,cs,,1,1,,10/21/23,9.91
"Dry Goods, Olive and Truffle Oil",Lea James Hot Chicken,"JAKE'S, INC.",400471,*CO* OIL TRUFFLE WHITE ASARO,cs,,1,8.5,fl,5/5/25,15.36
,Lea James Hot Chicken,US Foods,6602148,COOKIE  CHOC CHIP 1 Z TFF IW,cs,,144,1,oz,1/30/24,36.71
"Dry Goods, COOKIE, VNL WAFER BULK",Lea James Hot Chicken,US Foods,4007548,"COOKIE, VNL WAFER BULK",cs,lb,2,2,lb,5/30/23,14.74
"Produce, Corn, Yellow, Fresh",Lea James Hot Chicken,Chefs Produce,107,CORN FRESH YELLOW,cs,,48,1,ea,5/2/24,28.5
"Dry Goods, Pasta, Cavatappi",Lea James Hot Chicken,RESTAURANT DEPOT,7.61E+11,CQ ELBOWS LARGE,cs,,1,10,lb,4/1/25,18.99
,Lea James Hot Chicken,US Foods,1717586,CRACKER  BUTR RND SLEV,ca,ea,20,3.8,oz,12/31/24,27
,Lea James Hot Chicken,GORDON FOOD SERVICES,360362,CRACKER RTIZ,cs,each,6,10.3,oz,11/26/24,36.65
,Lea James Hot Chicken,Chefs Produce,7505,"CREAM HEAVY | OAK, FARMS",cs,each,9,0.5,gal,8/23/23,117
,Lea James Hot Chicken,"JAKE'S, INC.",MILK28,CREAM HEAVY WHIPPING 40% XHVY,cs,ea,12,1,qt,4/18/23,71.21
"Dairy, Cream, Heavy",Lea James Hot Chicken,"JAKES, INC.",MILK33,CREAM HEAVY WHIPPING UHT,cs,ea,12,1,qt,6/9/25,64.98
"Dairy, Cream, Heavy",Lea James Hot Chicken,"JAKE'S, INC.",MILK33,CREAM HEAVY WHIPPING UHT 36% QT,cs,ea,12,1,qt,6/2/25,64.98
,Lea James Hot Chicken,US Foods,8340978,CREAM  WHPG HVY LIQ 40% BUTRFT,ca,ea,12,1,qt,8/12/24,85.85
"Dairy, Cream, Heavy",Lea James Hot Chicken,RESTAURANT DEPOT,10031,CRM WHP FRH 40%|OF QRT,case,,1,1,qt,4/22/25,50.42
"Dairy, Cream, Heavy",Lea James Hot Chicken,RESTAURANT DEPOT,41467000738,CRM WHP FRH 40%|OF QRT,case,ea,12,1,quart,5/13/25,49.5
"Dry Goods, Croutons, Homestyle",Lea James Hot Chicken,RESTAURANT DEPOT,2061156,CROUTONS HMSTYL CQ 4|2.5,cs,each,4,2.5,lb,5/28/25,26.51
"Non Con, GLOVES NITRILE LG BLK PF",Lea James Hot Chicken,Jorge Garza,58897_XC10619295,Cs Nitrile Glove| 10|100ct,cs,ea,10,100,count,11/11/24,45
"Non Con, Gloves, Vinyl",Lea James Hot Chicken,Jorge Garza,58897_XC10363279,CS ===== Vinyl Glove | 10|100ct Lg,case,,10,100,ea,10/7/24,53
"Produce, Cucumber, Whole, Fresh",Lea James Hot Chicken,US Foods,9504377,CUCUMBER  #1 SUPER SELECT MEDI,case,,1,15,lb,8/5/24,12.07
"Non Con, Cup, Clear, 24oz",Lea James Hot Chicken,"JAKES, INC.",PCUP72,CUP 2402 ULTRA CLR PET PAPER,cs,ea,12,50,ea,3/11/25,71.15
"Non Con, Cup, Clear, 24oz",Lea James Hot Chicken,"JAKE'S, INC.",PCUP72,CUP 24OZ ULTRA CLR PET,cs,,12,50,ea,6/2/25,74.67
,Lea James Hot Chicken,US Foods,8438826,CUP  PET PLST 24 Z CLD CLR,cs,,12,60,each,7/1/24,110.45
,Lea James Hot Chicken,GORDON FOOD SERVICES,795930,CUP PRTN SOUFF 2Z TRANSL,cs,ea,12,20,count,11/14/24,55.47
,Lea James Hot Chicken,US Foods,2961068,CUP  SFLE PLYST 2 Z TNSLT PTN,ca,sleeve,12,200,each,4/21/23,40.84
"Non Con, Cup, 2oz, Clear Plastic",Lea James Hot Chicken,US Foods,SOFL50,CUP SOUFFLE 20Z POLYSTY,cs,ea,10,250,ct,6/23/25,36.09
"Non Con, Cup, 2oz, Clear Plastic",Lea James Hot Chicken,"JAKE'S, INC.",SOFL50,CUP SOUFFLE 20Z POLYSTY,cs,ea,10,250,count,4/14/25,36.09
,Lea James Hot Chicken,GORDON FOOD SERVICES,732915,CUTLERY WRPD FORK HVY BLK,cs,ea,1000,1,ea,11/21/24,81.89
,Lea James Hot Chicken,RESTAURANT DEPOT,30772087282,DAWN HVY DTY PUMP 1,cs,,1,1,ea,10/21/23,24.99
"Chemicals. Detergent, Pot and Pan, Enzyme",Lea James Hot Chicken,RESTAURANT DEPOT,37000083108,DAWN ORIGINAL PUMP,cs,,1,1,ea,3/19/25,17.89
"Non Con, DIsh and Pan, Detergent, Dawn",Lea James Hot Chicken,RESTAURANT DEPOT,2190013,DAWN ORIGINAL PUMP,gallon,,1,3.78,liter,4/22/25,17.89
,Lea James Hot Chicken,"JAKE'S, INC.",CLEN10,DEGREASER CLEANER C100,cs,ea,4,1,gal,12/20/24,47.95
,Lea James Hot Chicken,US Foods,1153937,DETERGENT  POT   PAN MN ENZYME,cs,,6,32,oz,11/17/23,38.21
,Lea James Hot Chicken,US Foods,1764534,DETERGENT  POT   PAN MNL P16,cs,,1,5,liter,9/2/24,79.14
"Chemicals. Detergent, Pot and Pan, Enzyme",Lea James Hot Chicken,US Foods,7912710,DETERGENT  POT   PAN MNL P19,cs,,6,1,each,6/4/24,35.25
"Chemicals, Detergent, Pot & Pan, p21",Lea James Hot Chicken,US Foods,7559830,DETERGENT  POT   PAN MNL P21,cs,each,4,1,gal,1/5/24,85.59
"Chemicals. Detergent, Pot and Pan, Enzyme",Lea James Hot Chicken,GORDON FOOD SERVICES,739650,DETRGNT POT&PAN MORE SUD,cs,,1,1,ea,11/8/24,48.29
"Produce, Daikon Radish, Fresh",Lea James Hot Chicken,Jorge Garza,58897_XC9163168,Diakon Radish,lb,,1,1,lb,2/18/25,1.49
"Dry Goods, Caesar Dressing",Lea James Hot Chicken,RESTAURANT DEPOT,54565,DRES CRM CAESAR KR 4|1GAL,case,jug,4,128,ounce,5/28/25,30.22
"Dry Goods, Ranch Dressing, with Jalapeno",Lea James Hot Chicken,RESTAURANT DEPOT,41335351986,DRES RANCH JALAPNO,cs,,1,1,gal,5/20/25,18.05
"Dairy, Sauce, Blue Cheese Dressing, Chunky",Lea James Hot Chicken,US Foods,4328340,"DRESSING, BLU CHS TFFEX CHNKY",cs,,1,1,gal,9/5/24,20.84
"Dry Goods, Dressing, Honey Mustard",Lea James Hot Chicken,GORDON FOOD SERVICES,214230,DRESSING HNY MSTRD 4-1GAL GCHC,cs,,1,4,gal,11/21/24,19.77
"Dry Goods, Dressing, Honey Mustard",Lea James Hot Chicken,"JAKE'S, INC.",333615,DRESSING HONEY DIJON #651,cs,,1,1,gal,5/5/25,24.89
"Dry Goods, Dressing, Honey Mustard",Lea James Hot Chicken,"JAKES, INC.",333615,DRESSING HONEY DIJON #651,cs,,1,1,gal,5/20/25,26.95
"Dry Goods, Dressing, Honey Mustard",Lea James Hot Chicken,US Foods,333615,DRESSING HONEY DIJON #651,ea,,1,1,gal,6/30/25,26.95
,Lea James Hot Chicken,"JAKES, INC.",INDR7 6,DRESSING RANCH ORIGINAL PC HV10026700681650,case,,84,1,each,9/12/23,28.54
"Dry Goods, Sauce, Tartar",Lea James Hot Chicken,RESTAURANT DEPOT,41335086710,DRES TARTAR SAUCE 1GL,jug,,1,1,gal,5/20/25,16.46
,Lea James Hot Chicken,US Foods,5708029,DRINK  FRT PNCH LOW CAL PLST,ca,ea,24,12,oz,10/6/23,16.32
"N/A Bev, Gatorade, Fruit Punch, Zero",Lea James Hot Chicken,US Foods,4876785,DRINK  FRT PNCH LOW CAL PLST,case,,24,20,oz,6/1/24,23.53
"N/A Bev,  Soda, Jarritos, Grapefruit",Lea James Hot Chicken,"JAKE'S, INC.",CDK145,DRINK GRAPEFRUIT JARRITOS,cs,ea,24,12.5,oz,5/26/25,33.36
"N/A Bev,  Soda, Jarritos, Grapefruit",Lea James Hot Chicken,"JAKES, INC.",CDK145,DRINK GRAPEFRUIT JARRITOS GLA,ea,ea,24,12.5,oz,5/23/25,33.36
,Lea James Hot Chicken,US Foods,3389231,DRINK.SDDA COLA COKE HEX GLS,cs,,24,1,ea,6/27/24,38.16
"N/A Bev,. Soda, Sidral",Lea James Hot Chicken,"JAKES, INC.",CDK149,DRINK SIORAL MUNDET,case,ea,24,12,oz,3/11/25,33.36
"N/A Bev, DRINK SODA COLA COKE MEX GLS",Lea James Hot Chicken,US Foods,8389231,"DRINK, SODA COLA COKE MEX GLS 24|500 HL COKE",cs,each,24,500,ml,9/5/24,38.16
"N/A Bev,  Soda, Jarritos, Grapefruit",Lea James Hot Chicken,US Foods,8989410,DRINK SODA GRPFT GLS BTL IMP,cs,ea,24,12.5,oz,8/26/24,24.99
"N/A Bev, DRINK, SODA LMN LIME SPRTE GLS",Lea James Hot Chicken,US Foods,5784343,"DRINK, SODA LMN LIME SPRTE GLS",cs,each,24,8,oz,8/26/24,39.98
"N/A Bev, Soda, Mandarin, Jarritos",Lea James Hot Chicken,US Foods,8988537,DRINK SODA MDN ORNG GLS BTL,cs,,24,12.5,oz,7/25/24,24.99
"N/A Bev, Soda, Orange Crush",Lea James Hot Chicken,US Foods,4854116,"DRINK, SODA ORNG CRUSH GLS BTL",cs,,4,12,oz,8/15/24,24.11
"N/A Bev, Soda, Orange Crush",Lea James Hot Chicken,US Foods,2567261,"DRINK, SODA ORNG CRUSH PLST",cs,,24,20,oz,8/8/24,30.81
"N/A Bev, Soda, Jarritos, Strawberry",Lea James Hot Chicken,US Foods,CDK148,DRINK STRAWBERRY JARRITOS GLA,cs,ea,24,12.5,oz,7/2/25,33.98
"N/A Bev, Soda, Jarritos, Strawberry",Lea James Hot Chicken,"JAKES, INC.",CDK148,DRINK STRAWBERRY JARRITOS GLA,case,ea,24,12.5,oz,6/9/25,33.98
"N/A Bev, Soda, Jarritos, Strawberry",Lea James Hot Chicken,"JAKE'S, INC.",CDK148,DRINK STRAWBERRY JARRITOS GLA,cs,ea,24,12.5,oz,5/26/25,33.36
"N/A Bev, Soda, Jarritos, Tamarind",Lea James Hot Chicken,"JAKES, INC.",CDK146,DRINK TAMARIND JARRITOS GLASS,cs,ea,24,12.5,oz,6/9/25,33.98
"N/A Bev, Soda, Jarritos, Tamarind",Lea James Hot Chicken,"JAKE'S, INC.",CDK146,DRINK TAMARIND JARRITOS GLASS,cs,ea,24,12.5,oz,5/26/25,33.36
"N/A Bev, Soda, Jarritos, Tamarind",Lea James Hot Chicken,US Foods,CDK146,DRINK TAMARIND JARRITOS GLASS,cs,ea,24,12.5,oz,6/30/25,33.98
,Lea James Hot Chicken,Chefs Produce,219,DRISCOLLS,cs,,12,6,oz,9/2/23,5.41
"N/A Bev, Soda, Dr Pepper, Bottle",Lea James Hot Chicken,RESTAURANT DEPOT,78000082401,DR PEPPER,ea,ea,24,1,ea,4/2/25,29.02
"N/A Bev, Soda, Dr Pepper, Bottle",Lea James Hot Chicken,RESTAURANT DEPOT,78000804676,DR PEPPER 12Z,ea,ea,12,1,ea,4/29/25,14.58
"N/A Bev, Soda, Dr Pepper, Bottle",Lea James Hot Chicken,RESTAURANT DEPOT,440808,Dr Pepper -16.9 Oz,pack,ea,24,1,ea,4/17/25,13.43
"Frozen, Bread, Texas Toast, White,",Lea James Hot Chicken,"JAKE'S, INC.",BRD040,"DRY BREAD TEXAS TOAST 3|4""",cs,ea,7,32,oz,4/11/25,23.93
"Dairy, Cream, Heavy",Lea James Hot Chicken,RESTAURANT DEPOT,40900016084,DS HEAVY CRM 36%,carton,ea,12,32,fl,4/1/25,65.13
"Produce, Parsley, Italian, Fresh",Lea James Hot Chicken,Jorge Garza,58897_XC11494749,Each Italian Parsley,each,,1,1,each,2/25/25,0.69
,Lea James Hot Chicken,Jorge Garza,58897_XC10484624,Ea  Green Onion,cs,,1,1,ea,10/21/24,0.99
"Chemicals, Hand Sanitizer",Lea James Hot Chicken,RESTAURANT DEPOT,76642207855,ECOCHOICE HAND,case,,1,1,ea,9/24/24,6.62
"Dairy, Egg",Lea James Hot Chicken,RESTAURANT DEPOT,7.61E+11,EGG JUM LSE CF,cs,,1,84,ea,4/15/25,63.25
"Dairy, EGG LIQ YOLK W O SUGAR PSTRD",Lea James Hot Chicken,US Foods,6078737,EGG LIQ YOLK W O SUGAR PSTRD,cs,each,15,2,lb,5/12/23,67.31
"Dairy, Egg",Lea James Hot Chicken,RESTAURANT DEPOT,7.61E+11,EGG MEDIUM LOOSE 15DZ,cs,ea,15,12,each,3/10/25,88.01
"Dairy, Egg",Lea James Hot Chicken,RESTAURANT DEPOT,51213,EGG MED LSE 15DZ,case,,1,180,ea,4/22/25,41.95
,Lea James Hot Chicken,Jorge Garza,58897_XC7774297,Eggs,cs,,1,180,ea,9/2/24,59
"Dairy, Egg",Lea James Hot Chicken,"JAKES, INC.",EGGS07,EGGS EXTRA LARGE GRD AA LOOSE,lb,,1,15,each,6/4/25,4
,Lea James Hot Chicken,US Foods,823013,EGG  SHL LG GRD AA WHT LOOS PK,cs,,180,1,each,6/4/24,43.51
,Lea James Hot Chicken,US Foods,2341295,EGG  SHL X-LG GRD AA WHT LOOS,case,,180,1,each,7/29/24,49.51
,Lea James Hot Chicken,US Foods,823005,EGG  SHL X-LG GRD AA WHT LOOS,cs,,180,1,each,7/15/24,46.38
,Lea James Hot Chicken,US Foods,2341295,"EGG, SHL X-LG GRD AA WHT LOOS 15 DZ.",cs,,180,1,each,8/19/24,69.51
"Dairy, Egg",Lea James Hot Chicken,"JAKES, INC.",EGGS08,EGGS LARGE GRD AA LOOSE,lb,,1,15,each,6/4/25,3.94
,Lea James Hot Chicken,"JAKES, INC.",MILKS3,EGGS PLAIN YOLKS LIQUID REFRI,cs,,15,2,lb,12/5/23,79.27
,Lea James Hot Chicken,Chefs Produce,116,EGGS WHITE XTRA LARGE,cs,,1,1,,11/3/23,32
,Lea James Hot Chicken,"JAKE'S, INC.",EGGS07,EGGS XLARGE GRD,cs,,1,12,each,2/6/24,3.43
"Dairy, Egg",Lea James Hot Chicken,US Foods,EGGS07,EGGS XLARGE GRD AA LOOSE PRIC,lb,ea,12,1,ea,6/30/25,3.9
"Produce, Elote Amarillo",Lea James Hot Chicken,Pereyda Produce,187244_XC8957694,Elote Amarilo,cs,,1,1,each,4/30/24,35
"Produce, Endive, Belgian Red Tip",Lea James Hot Chicken,Chefs Produce,120,ENDIVE BELGIAN RED TIP,cs,,1,8,lb,5/1/24,81
,Lea James Hot Chicken,Pereyda Produce,187244_XC8957697,Epozote,bunch,,1,1,each,4/30/24,2.5
"Non, Con, Container,  6x6",Lea James Hot Chicken,"JAKE'S, INC.",CTRY19,*ET7* CONTAINER 6X6 CLR HNGD,cs,ea,4,125,each,12/19/23,61.86
,Lea James Hot Chicken,Jorge Garza,58897_XC10172089,Extra Melt,cs,,1,1,,9/17/24,137.89
,Lea James Hot Chicken,Jorge Garza,58897_XC10111214,Extra Melt | White,cs,lb,6,5,lb,1/6/25,144
