FAM_Product_Name,FAM_Restaurant_Location_Name,Vendor_Name,Vendor_Item_Code,Vendor_Item_Description,Vendor_UOM,Inventory_UOM,Pack_qty,Size_qty,Size_UOM,Last Purchased Date,Last Purchased Price ($)
,Lea James Hot Chicken,Chefs Produce,1344,APPLES HONEY CRISP WAXF,ea,,1,88,ct,1/5/24,3.16
"Frozen, Corn Rib, Hickory Smoked",Lea James Hot Chicken,Sysco Houston,7228367,APTZR CORN RIB HCKRY SMK,cs,pack,4,4,lb,5/23/25,71.07
"Non Con, Degreaser",Lea James Hot Chicken,GORDON FOOD SERVICES,255203,Array DEGREASER H|D RTU,cs,ea,6,32,oz,11/21/24,38.57
"Produce, Avocado, Fresh",Lea James Hot Chicken,Jorge Garza,58897_XC11835395,Avocado 48ct.,cs,,1,1,ea,12/2/24,1.79
"Produce, Avocado, Fresh",Lea James Hot Chicken,US Foods,2051878,AVOCADO  HASS 24 CT FRESH REF,cs,,1,24,each,4/19/24,24.42
,Lea James Hot Chicken,Chefs Produce,82,AVOCADOS  HASS 2 LAYER,cs,each,48,1,count,9/2/23,49.72
,Lea James Hot Chicken,Chefs Produce,83,AVOCADOS HASS 2 LAYER,cs,,1,1,ea,5/1/24,38.33
,Lea James Hot Chicken,Chefs Produce,1069,BABY FRISEE CIRCUS,cs,,12,1,count,11/3/23,36.75
,Lea James Hot Chicken,"JAKE'S, INC.",BACN05,BACON HALF SLAB APPLEWOOD,cs,ea,4,1,piece,10/4/24,6.77
,Lea James Hot Chicken,RESTAURANT DEPOT,70247159793,BAC TRAY PACK 3#,cs,,1,3,lb,5/13/25,13.4
,Lea James Hot Chicken,RESTAURANT DEPOT,18692,BAC TRAY PACK 3# FLAND,cs,,1,3,lb,4/22/25,12.18
"Non Con, To Go Bags",Lea James Hot Chicken,RESTAURANT DEPOT,7.61E+11,BAG PL1|6SMILEFACE 500 CT,case,,1,500,each,4/10/25,18.99
"Non Con, To Go Bags",Lea James Hot Chicken,US Foods,BAGS43,BAGS 11.5X6. 5X22 THANK YOU,ea,ea,1000,1,ea,6/13/25,33.77
,Lea James Hot Chicken,US Foods,1870898,BAG  SHPP 14X10X16 PAPR KRAFT,cs,,1,200,each,11/17/23,104.06
,Lea James Hot Chicken,US Foods,8808988,"BAG, SHPP 19.5X16X9 PLST LG EV",ea,,500,1,ea,5/10/24,57.2
,Lea James Hot Chicken,"JAKE'S, INC.",BAGS43,BAGS T-SHIRT THANK YOU,cs,,1,1,,4/11/25,32.33
"Non Con, To Go Bags",Lea James Hot Chicken,"JAKES, INC.",BAGS43,BAGS T-SHIRT THANK YOU,cs,,1000,1,each,3/4/25,30.67
,Lea James Hot Chicken,US Foods,3362936,"BAG, T-SHIRT 11.5X6,5X21 PLST",cs,,1000,1,each,2/23/24,20.48
,Lea James Hot Chicken,US Foods,9189087,BAG  T-SHIRT 11.5X7X21 PLST,case,,1,1000,each,1/2/24,28.77
,Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,120765_XC46812,BANANA,cs,,1,1,each,5/28/24,4
"Produce, BANANA, FRESH REF",Lea James Hot Chicken,US Foods,9073909,"BANANA, FRESH REF",ca,,1,10,lb,9/10/24,11.67
,Lea James Hot Chicken,MJ Sweet and Cake,101841_XC8305704,Banana Pudding,cs,,1,1,ea,6/28/24,4
"Dessert, Banana Pudding",Lea James Hot Chicken,MJ Sweet and Cake,101841_XC7523071,Banana Pudding,cs,,1,1,ea,6/24/25,20
,Lea James Hot Chicken,MJ Sweet and Cake,101841_XC53500,bananas,cs,,1,1,ea,7/24/24,6
,Lea James Hot Chicken,Chefs Produce,90,BANANAS #1,lb,,1,1,lb,2/5/24,1.27
,Lea James Hot Chicken,"JAKES, INC.",BASE61,BASE CHICKEN PASTE G|F NO,cs,,1,1,lb,10/14/24,10.11
,Lea James Hot Chicken,"JAKE'S, INC.",BASE61,BASE CHICKEN PASTE G|F NO MSG,cs,,6,6,each,7/29/24,10.11
"Dry Goods, Chipotle Concentrate",Lea James Hot Chicken,GORDON FOOD SERVICES,816957,BASE CHIPOTLE CONC,cs,ea,6,14.4,oz,11/21/24,11.98
,Lea James Hot Chicken,US Foods,8823833,BASE  SOUP CHIX PASTE TUB SHLF,case,ea,6,1.99,lb,2/20/24,69.49
"Meat, BEEF BRISKET CHOICE",Lea James Hot Chicken,"JAKES, INC.",JBXB95,BEEF BRISKET CHOICE,lb,,1,1,lb,6/29/23,4.15
"Meat, Beef,  Chuck, Flap",Lea James Hot Chicken,"JAKE'S, INC.",FJ4012,BEEF CHUCK FLAP CHOICE OR,lb,,1,1,lb,12/3/24,11.05
,Lea James Hot Chicken,US Foods,8765083,BEEF SUB  PTY MEATL VEG 3,ca,,54,1.8,oz,11/17/23,45.22
,Lea James Hot Chicken,Jorge Garza,58897_XC9942156,Beets,cs,,1,1,,10/7/24,1.49
"Produce, Beetroot,  Red, Fresh",Lea James Hot Chicken,Jorge Garza,58897_XC5705377,Beets|Red,lb,,1,1,lb,3/24/25,1.49
,Lea James Hot Chicken,Chefs Produce,55,BEETS RED MEDIUM,case,,1,25,lb,5/23/24,29.25
,Lea James Hot Chicken,Chefs Produce,207,BEETS RED MEDIUM,cs,,1,1,lb,1/3/24,1.88
,Lea James Hot Chicken,MJ Sweet and Cake,101841_XC7809704,BISCOFF,cs,,1,1,ea,12/15/22,4
"Dry Goods, Black Pepper, Ground",Lea James Hot Chicken,"JAKES, INC.",BSPI75,BLACK PEPPER GROUND,case,lb,3,5,lb,11/28/23,48.27
"Produce, BLACKBERRIES DRISCOLLS",Lea James Hot Chicken,Chefs Produce,2400,BLCKBERRIES DRISCOLLS,cs,,1,1,each,6/30/23,48
,Lea James Hot Chicken,RESTAURANT DEPOT,2260900109,BLEACH AROGEPGERM 128Z,case,,1,128,oz,10/21/23,3.33
"Chemicals, Bleach, Jug",Lea James Hot Chicken,US Foods,6696848,BLEACH  DISINF LIQ JUG CLR,cs,,6,1,each,8/5/24,20.46
"Non Con, Bleach",Lea James Hot Chicken,GORDON FOOD SERVICES,490833,BLEACH LIQ 6-1GAL ARRY,cs,ea,6,1,gal,11/8/24,16.24
,Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,120765_XC46814,BLUE BERRIES,cs,,1,1,ea,5/28/24,32
"Produce, BLUEBERRIES PINT",Lea James Hot Chicken,Chefs Produce,2410,BLUEBERRIES PINT,cs,,1,1,each,6/30/23,46.75
,Lea James Hot Chicken,MJ Sweet and Cake,101841_XC7910752,BLUEBERRY,cs,,1,1,ea,2/23/24,32
,Lea James Hot Chicken,MJ Sweet and Cake,101841_XC53501,blue berry cake,cs,,1,1,ea,9/6/24,32
"Dessert, Blueberry Bundt Cake",Lea James Hot Chicken,MJ Sweet and Cake,101841_XC10776471,Blueberry Lemon Cake,ea,,1,8,piece,6/24/25,32
"Non Com, Bowls, FM Xtra",Lea James Hot Chicken,GORDON FOOD SERVICES,256145,BOWL FM 8Z XTRA SQT,cs,ea,20,50,count,11/14/24,59.61
"Dry Goods, Bread,  Burger Bun, 2.5 oz",Lea James Hot Chicken,CB Commissary LLC,486,Bread Challah Burger Buns 2.5 oz,cs,,1,1,ct,6/3/25,0.57
"Dry Goods, Bread,  Burger Bun",Lea James Hot Chicken,COMMON BOND BISTRO & BAKERY,90880_XC12350157,Bread Challah Burger Buns 3 oz.,cs,,1,1,ea,5/15/25,0.62
"Dry Goods, Bread,  Burger Bun, 2 oz",Lea James Hot Chicken,CB Commissary LLC,483,Bread Challah Rolls 2 oz (12 pk),cs,ea,12,2,oz,6/3/25,1.59
"Dry Goods, Bread,  Burger Bun",Lea James Hot Chicken,CB Commissary LLC,487,Bread Challish Burger Buns 3oz,ea,,1,1,ea,7/1/25,0.62
"Dry Goods, Bread, Texas Toast",Lea James Hot Chicken,CB Commissary LLC,936,Bread Classic White Loaf Sliced,loaf,slice,10,1,ea,7/1/25,2.19
"Dry Goods, Bread, Texas Toast",Lea James Hot Chicken,COMMON BOND BISTRO & BAKERY,90880_XC12350158,Bread Classic White Loaf Sliced.,cs,,1,1,ea,5/15/25,2.19
"Dry Goods, Bread, French Toast, Thick Slice",Lea James Hot Chicken,CB Commissary LLC,2537,Bread French Toast Brioche Loaf Thick Sliced,each,,1,1,count,6/3/25,1.06
"Dry Goods, Bread, French Toast, Thin Slice",Lea James Hot Chicken,CB Commissary LLC,2537T,Bread French Toast Brioche Loaf Thin Sliced,ea,,1,1,ct,5/20/25,1.06
,Lea James Hot Chicken,"JAKE'S, INC.",BRD014,BREAD TEXAS TOAST,each,each,10,24,oz,6/27/23,25.65
"Frozen, Bread, Texas Toast, White,",Lea James Hot Chicken,"JAKES, INC.",BRD040,"BREAD TEXAS TOAST 3|4""",cs,ea,7,32,oz,3/11/25,23.93
"Frozen, Bread, Texas Toast, White,",Lea James Hot Chicken,US Foods,BRD040,"BREAD TEXAS TOAST 3|4""",cs,ea,7,32,oz,7/2/25,23.6
,Lea James Hot Chicken,"JAKES, INC.",BRD014,BREAD TEXASUTOAST56624007082,cs,ea,10,24,oz,8/8/23,25.65
"Frozen, Bread, Texas Toast, White,",Lea James Hot Chicken,"JAKE'S, INC.",FRPR49,"BREAD TOASTTEXAS SLI 7|8"" 10 FROZEN OTHER",cs,ea,10,24,oz,10/22/24,40.46
"Dry Goods, BREAD  WHT 12.5  15 SLCD",Lea James Hot Chicken,US Foods,6534184,BREAD  WHT 12.5  15 SLCD 3 4,cs,each,6,28.32,oz,6/2/23,26.34
"Frozen, Bread, Texas Toast, White,",Lea James Hot Chicken,US Foods,6340301,BREAD  WHT 17 SLCD TX 4.25X4.5,cs,ea,10,24,oz,7/1/24,34.87
"Frozen, Bread, Texas Toast, White,",Lea James Hot Chicken,"JAKES, INC.",900006,BREAD YELLOW TEXAS TOAST,cs,ea,2,5,lb,12/23/24,33.37
"Frozen, Bread, Texas Toast, White,",Lea James Hot Chicken,"JAKE'S, INC.",900006,BREAD YELLOW TEXAS TOAST SLIC,cs,ea,8,24,oz,5/1/25,34.17
"Produce, BROCCOLI CROWNS",Lea James Hot Chicken,Chefs Produce,245,BROCCOLI CROWNS,cs,,1,20,lb,7/7/23,20.31
,Lea James Hot Chicken,Chefs Produce,59,BRUSSELS SPROUTS MEDIUM BULK,cs,,25,1,lb,11/20/23,46.75
"Dairy,  Clarified Butter",Lea James Hot Chicken,RESTAURANT DEPOT,15700227220,BTR PLUGRA CLRUED 5LB,cs,ea,4,5,lb,5/13/25,24.51
,Lea James Hot Chicken,"JAKES, INC.",BUN004,"BUN BURGER BRIOCHE 4.5""",cs,ea,6,12,count,10/14/24,44.57
"Dry Goods, Bread,  Burger Bun",Lea James Hot Chicken,COMMON BOND BISTRO & BAKERY,90880_XC6585323,Burger Bun WS,ea,,1,1,each,6/2/24,0.62
,Lea James Hot Chicken,US Foods,4715660,BUTTER  BLND NO SALT TFF REF,cs,ea,36,1,lb,9/10/24,87.06
,Lea James Hot Chicken,Chefs Produce,7508,BUTTER BORDEN UNSALTED,case,,36,1,lb,1/3/24,175
"Dairy,  Clarified Butter",Lea James Hot Chicken,"JAKE'S, INC.",BUTR28,BUTTER CLARIFIED PLUGRA,case,ea,4,5,lb,6/2/25,104.17
"Dairy,  Clarified Butter",Lea James Hot Chicken,US Foods,BUTR28,BUTTER CLARIFIED PLUGRA,cs,ea,4,5,lb,6/30/25,104.37
"Dairy,  Clarified Butter",Lea James Hot Chicken,"JAKES, INC.",BUTR28,BUTTER CLARIFIED PLUGRA UNSLT,case,ea,4,5,lb,6/9/25,102.95
"Dairy,  Clarified Butter",Lea James Hot Chicken,US Foods,6235931,"BUTTER, CLRFD GRD AA UNSLTD",cs,each,4,5,lb,6/7/24,109.51
,Lea James Hot Chicken,US Foods,877506,BUTTER  SALTD SOLID AA GRD REF,cs,ea,36,1,lb,3/12/24,141.13
"Dairy, BUTTER  SALTD WHPD AA GRD TUB",Lea James Hot Chicken,US Foods,8340416,BUTTER  SALTD WHPD AA GRD TUB,cs,each,4,5,lb,6/20/23,86.91
,Lea James Hot Chicken,US Foods,877506,"BUTTER, SOLID GRD AA SALTD REF",cs,each,36,1,lb,10/9/23,147.88
,Lea James Hot Chicken,"JAKES, INC.",BUTR68,BUTTER SOLID UNSLTD AA BORDEN,cs,,36,1,lb,8/26/24,147.56
"Dairy, Cream, Heavy",Lea James Hot Chicken,US Foods,MILK33,C/0 CREAM HEAVY WHIPPING UHT,cs,ea,12,1,qt,6/23/25,64.98
