timestamp,table,pk,column,value,error_message
2025-07-06T15:46:56.001724,recipes,72,,,Recipe has no costed ingredients
2025-07-06T15:46:56.001735,recipes,74,,,Recipe has no costed ingredients
2025-07-06T15:46:56.001738,recipes,75,,,Recipe has no costed ingredients
2025-07-06T15:46:56.001749,recipes,81,food_cost_percentage,119.99,High food cost percentage: 120.0%
2025-07-06T15:46:56.001752,recipes,83,,,Recipe has no ingredients
2025-07-06T15:46:56.001758,recipes,87,food_cost_percentage,122.49466666666666,High food cost percentage: 122.5%
2025-07-06T15:46:56.001768,recipes,97,,,Recipe has no ingredients
2025-07-06T15:46:56.001771,recipes,100,,,Recipe has no ingredients
2025-07-06T15:46:56.001774,recipes,102,,,Recipe has no ingredients
2025-07-06T15:46:56.001777,recipes,105,,,Recipe has no ingredients
2025-07-06T15:46:56.001779,recipes,106,,,Recipe has no ingredients
2025-07-06T15:46:56.001793,recipes,122,,,Recipe has no ingredients
2025-07-06T15:46:56.001800,recipes,130,,,Recipe has no ingredients
2025-07-06T15:46:56.002086,recipe_ingredients,309,ingredient_name,Hot Honey - 2025,"Ingredient name mismatch: ""Hot Honey - 2025"" vs ""Dry Goods, Honey, Natural"""
2025-07-06T15:46:56.002090,recipe_ingredients,310,ingredient_name,"Non Con, Cup, 2oz, Clear Plastic","Ingredient name mismatch: ""Non Con, Cup, 2oz, Clear Plastic"" vs ""Non Con Cup 2oz Clear Plastic"""
2025-07-06T15:46:56.002092,recipe_ingredients,311,ingredient_name,"Non Con, Lids, 1.5-2oz, Souffle, Clear","Ingredient name mismatch: ""Non Con, Lids, 1.5-2oz, Souffle, Clear"" vs ""Non Con Lids 1.5-2oz Souffle Clear"""
2025-07-06T15:46:56.002098,recipe_ingredients,314,ingredient_name,Hot Honey - 2025,"Ingredient name mismatch: ""Hot Honey - 2025"" vs ""Dry Goods, Honey, Natural"""
2025-07-06T15:46:56.002109,recipe_ingredients,324,ingredient_name,"Protein, Pork Belly, Diced, Hickory Smoked","Ingredient name mismatch: ""Protein, Pork Belly, Diced, Hickory Smoked"" vs ""Frozen, Corn Rib, Hickory Smoked"""
2025-07-06T15:46:56.002115,recipe_ingredients,327,ingredient_name,"Water, Tap","Ingredient name mismatch: ""Water, Tap"" vs ""N/A Bev, WATER PLST BTL CLR TWIST CAP"""
2025-07-06T15:46:56.002121,recipe_ingredients,334,ingredient_name,"Produce, CABBAGE GREEN SHREDDED","Ingredient name mismatch: ""Produce, CABBAGE GREEN SHREDDED"" vs ""Produce, Cabbage, Red, Shredded"""
2025-07-06T15:46:56.002152,recipe_ingredients,380,ingredient_name,Mac Sauce - Modified 2025,"Ingredient name mismatch: ""Mac Sauce - Modified 2025"" vs ""Dairy, Cheese Sauce, Loaf, American"""
2025-07-06T15:46:56.002156,recipe_ingredients,383,ingredient_name,"Non Con, Cup, 2oz, Clear Plastic","Ingredient name mismatch: ""Non Con, Cup, 2oz, Clear Plastic"" vs ""Non Con Cup 2oz Clear Plastic"""
2025-07-06T15:46:56.002158,recipe_ingredients,384,ingredient_name,"Non Con, Lids, 1.5-2oz, Souffle, Clear","Ingredient name mismatch: ""Non Con, Lids, 1.5-2oz, Souffle, Clear"" vs ""Non Con Lids 1.5-2oz Souffle Clear"""
2025-07-06T15:46:56.002167,recipe_ingredients,390,ingredient_name,"Non Con, Cup, 2oz, Clear Plastic","Ingredient name mismatch: ""Non Con, Cup, 2oz, Clear Plastic"" vs ""Non Con Cup 2oz Clear Plastic"""
2025-07-06T15:46:56.002169,recipe_ingredients,391,ingredient_name,"Non Con, Lids, 1.5-2oz, Souffle, Clear","Ingredient name mismatch: ""Non Con, Lids, 1.5-2oz, Souffle, Clear"" vs ""Non Con Lids 1.5-2oz Souffle Clear"""
2025-07-06T15:46:56.002183,recipe_ingredients,402,ingredient_name,Hot Honey - 2025,"Ingredient name mismatch: ""Hot Honey - 2025"" vs ""Dry Goods, Honey, Natural"""
2025-07-06T15:46:56.002193,recipe_ingredients,409,ingredient_name,"Dry Goods, Oil, Canola, Salad -v","Ingredient name mismatch: ""Dry Goods, Oil, Canola, Salad -v"" vs ""Dry Goods, Oil, Canola, Salad"""
