Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:29,
Prep Recipe Name,Kale - Chopped,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Ingredient,, ,20 lb,2 Days,100%, mins, mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$23.784,$0.00,$23.784,$1.1892,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Produce, Kale, Green, Fresh, by Weight",Product,20 lb,100%,100%,$23.784,,
